question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
Pathological jealousy is?,"Ans. is 'a' i.e., Delusion of infidelity Morbid jealousy (Pathological jealousy)* Also referred to as delusional jealously, obsessive jealousy and Othello syndrome. This condition occurs when a person feels an unreasonable fear that a partner has been unfaithful, is presently unfaithful, or plans to be unfaithful.* Morbid jealousy can occur in alcoholism, Schizophrenia, manic phase of bipolar illness, OCD, depression, or anxiety disorder.Also knowAlcoholic paranoia falcohal induced psychotic disorder with delusions)* Alcoholic parania refers to alcohol induced psychotic disorder with delusions. Delusions in alcoholic paranoia are fixed, ie. Alcoholic paranoia is associated with fixed delusions. Patients develop delusion of either persecution or jealousy, accompanied by delusion of reference. Auditary hallucinations may occur but play a minor role.",1,Delusion of infidelity,Delusion of love,Delusion of double,Delusion of grandiose,Psychiatry,Symptoms & Signs ,534b2822-fd67-44dc-a2f2-86cef8b2a48c,single
A 72 yr. old male lost 10kgs since last 3 months. He had profuse guilt for the mistakes he has done in life and doesn't sleep more than 4 hrs. per day. The probable diagnosis is,Dysthymia is chronic mild depression in which person have symptoms for more than 2 yrs. Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 604-607,2,Schizophrenia,Dysthymia,Involutional melancholia,Anhedonia,Psychiatry,Mood disorders,7b3f5261-868c-4b15-8171-84c3a3cad6b9,single
Cardinal element of behavior therapy is?,"Ans. is 'b' i.e., Learning * Behavior therapy is based on the assumption that all behaviors (normal or abnormal) are learning response.Normal and abnormal behaviors are subject to the laws of learning and the same laws can be used to change them. Behavior therapy is based on theories of learning and aims at changing the maladaptive behavior and substituting it with adaptive behavior.",2,Modeling,Learning,Conditioning,Guidance,Psychiatry,Treatment,5b13cd2f-6a1f-47b6-bf45-ae798b55d7c1,single
Max cut oft duration for prolonged seizures post ECT according to American psychiatric society:,"Ans. d. 180 secondsThe first behavioral sign of seizure is often plantar, extension, which lasts 10-20 seconds and makes a tonic phase.For monitoring seizure, it should last at least 25 seconds.The onset of seizures activity is sometimes delayed as long as 20-40 seconds after the stimulus administration.Prolonged seizures lasting more than 180 seconds and status epilepticus can be terminated either with additional dose of the barbiturate agent or with IV diazepam (Valium) (5-10 mg).",4,>90 seconds,>150 seconds,>120 seconds,>180 seconds,Psychiatry,Treatment,9baee30e-84cb-4abf-af21-eaa38ef0e78c,single
behavioural therapy was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",1,skinner,freud,konrad lorenz,beck,Psychiatry,Treatment in psychiatry,05947d13-cdb4-42af-af54-f77b0f72320f,single
A child is not eating vegetables. His mother stas giving a chocolate each time he finishes vegetables in the diet. This method comes under which of the following?,"Operant Conditioning Procedures for Increasing BehaviourThe common methods for augmenting an adaptive behaviour include:i. Positive reinforcement: Here, the desired behaviour is reinforced by a reward, either material or symbolic ii. Negative reinforcement: Here, on the performance of the desirable behaviour, punishment can be avoided. iii. Modelling: The person is exposed to 'model' behaviour and is induced to copy it. This can also be used to avoid ceain behaviours. Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 215",1,Operant conditioning,Classical conditioning,Social training,Negative reinforcement,Psychiatry,Treatment in psychiatry,4798835f-90f2-4789-83be-4bf82b70ceb2,single
"A 40 year old male presents with sudden onset breathlessness, anxiety, palpitation, hot flushes, dizziness & chest pain. He is afraid of dying. Physical examination is normal. ECG & X-ray are also normal. What is the diagnosis?","Ans. is 'a' i.e., Panic attack * Sudden onset of breathlessness, anxiety, palpitation,, hot flushes, dizziness, chest pain & fear of dying (feeling of impending doom) suggest the diagnosis of panic attack (severe anxiety).* Panic attack may present like angina / MI e.g. palpitation, sweating, dyspnea, chest discomfort or pain.* Sudden onset of breathlessness, anxiety, palpitation and feeling of impending doom suggest the diagnosis of panic attack (severe anxiety)* A panic attack has following characteristics: -A. Discrete episode of intense fearB. Abrupt onset (sudden onset)C. Reaches as maximum within few minutes and lasts for some minutes.D. At least four of the following symptoms : - 1) Palpitation 2) Sweating 3) Shortness of breath (Breathlessness) 4) Feeling of choking 5) Chest pain or discomfort (chest constriction) 6) Nausea or abdominal distress 7) Trembling or shaking 8) Dizziness, unsteady, fainting 9) Derealization or depersonalization 10) Fear of losing control 11) Fear of dying (impending doom) 12) Paresthesias 13) Chills or hot flushesE. At least one of the attack is followed by 1 month (or more) of one (or more) of the following ; - a) Persistent concern of future attacks, b) Worry about the consequences of attacks (Heart attack, Stroke) c) Significant change in behavior related to attack.",1,Panic attack,Anxiety disorder,Malingering,Acute psychosis,Psychiatry,Anxiety & Stress,c41e901d-761b-49ef-8d50-23a645135fe4,single
Systematic desensitization is a behavior therapy used in treatment of which of the following disorder?,Ans. D. PhobiaSystematic Desensitization is best method for treatment of phobia in which patient is exposed first to least anxiety provoking stimulus to the higher and finally highest anxiety provoking stimulusFlooding means patient is exposed to highest anxiety provoking stimulus as part of treatment in exposure method so that he is treated of his abnormal fear i.e. phobia.,4,Depression,PTSD,Schizophrenia,Phobia,Psychiatry,Treatment,48af9eeb-f80a-4396-be5c-4318ac937764,single
Which of the following is not a disorder of form of thought?,"Ans. c. Thought block (Ref: Kaplan Synopsis 10/e p234; CDTP 2nd/106, 274, 749)Thought block is a disorder of stream, not a disorder of form.""ln format thought disorder, the structure or form of thought is disordered. It includes preservation, flight of ideas (clang association, puns, rhymes), loosening of associations, derailment, vorbeireden, verbigeration (word salad); tangentiality, transitory thinking, substitution, omission, rivelling, desultory thinking, neologism, poverty of speech and poverty of content. Whereas thought block is mainly a disorder of flow/stream of thoughts.""Thought DisordersDisorders of form (Form is the structure of thought)Disorders of stream (Flow of thought)Disorders of Possession (Control of thought)Disorders of content (Themes)* Loosening of association* Derailment* Tangentiality* Substitution* Omission* Transitory thinking* Driveling* Desultory thinking* Neologism, poverty of speech* Poverty of content of speech, word salad* Flight of ideas* Thought block* Circumstantiality* Prolixity* Thought retardation* Preservation* Obsessions and compulsion* Thought insertion* Thought withdrawal* Thought broadcast* Delusion of reference* Persecution, misinterpretation* Grandiosity* Guilt* Nihilism* Depressive cognitions* Overvalued ideas",3,Derailment,Tangentiality,Thought block,Loosening of association,Psychiatry,Symptoms & Signs ,240be601-27a3-44a5-80cc-633b4d133ee1,single
"A person going to temple gets irresistible sense of ideas to abuse God, which cannot be resisted, likely diagnosis is :","Ans. is 'a' obsessive compulsive disorder The person is suffering from obsessive compulsive disorder because he knows that the thoughts coming in his mind (to abuse god) are absurd & irrational (he is trying to resist it). This shows that the thoughts are ""ego alien"".This obsession or thought is followed by a behaviour which is performed with a sense of compulsion. So the diagnosis is O.C.N.",1,Obsessive compulsive disorder,Mania,Schizophrenia,Delusion,Psychiatry,Other Anxiety Disorders,fef2b78a-ebfb-4886-a266-85101ddef4e4,single
Minimum time period to diagnose depression with daily manifestation is?,"Ans. (b) 2 weeks(Ref. Kaplan and sadock's synopsis of psychiatry: behavioral sciences/Clinical psychiatry, 10/e, American psychiatric Association, Diagnostic and statistical menual of mental disorders, 4/e",2,1 weeks,2 weeks,4 weeks,8 weeks,Psychiatry,Major Depression,e11e9b2d-0b34-4531-9895-3b03f7d3f98b,single
"In clinical practice, most common psychiatric illness seen is:","Ans. (c) Depressive disorderRef. Kaplan synopsis 10thed./ 528-30* Most common psychiatric disorder in India and worldwide: Major depression* Female is most commonly affected as compared to males* Depression is the most common psychiatric disorder associated with severe medical illness like hypothyroidism, cancer, AIDS, post MI etc.",3,Maniac disorder,Schizophrenia,Depressive disorder,Bipolar disorder,Psychiatry,Major Depression,a56c0ffb-b054-418c-bd49-a2edc94cb956,single
The most common comorbid illness with depression is,"Substance use disorder is the commonest comorbid psychiatric illness. The other impoant ones are panic disorder, social anxiety and OCD. Substance use is more common in men depressives and anxiety in women depressives. Bipolar disorder patients have twice the rates of prevalence, in comparison to the unipolar depressive patients.",2,Anxiety disorder,Substance use disorder,Obsessive-compulsive disorder,Comorbid illnesses are rare,Psychiatry,Mood Disorders,24877349-63c4-4c90-b422-7755767d1548,single
A 25 year old male believes that his penis is decreasing in size everyday and one day it will disappear one day and he will die. Diagnosis is -,"Ans. is 'D' i.e. Delusion disorder o Description given in the question is of Koro syndrome, a delusional disorder. Koro syndrome o Koro is a culture-specific syndrome delusional disorder in which an individual has an overpowering belief that one's genitalia are retracting and will disappear, despite the lack of any true longstanding changes to the genitals. Koro is also known as shrinking penis. The syndrome is commonly known as genital retraction syndrome.",4,Obsession,Somatization,Hypochondriasis,Delusion disorder,Psychiatry,Mood Disorders,8803b55c-dd83-452a-ba70-ca2a4653a350,single
Most common phobia is,"The phobia is defined as an irrational fear of a specific object, situation or activity, often leading to persistent avoidance of the feared object, situation or activity Types- agoraphobia, social phobia and specific phobia Agoraphobia is an example of irrational fear of situations. It is the commonest type of phobia encountered in clinical practice (Ref: A sho textbook of psychiatry, Niraj Ahuja,7th edition, pg no 92)",4,Acrophobia,Thanatophobia,Photophobia,Agoraphobia,Psychiatry,Anxiety disorders stress disorders and grief,cda0e6ef-e6a4-4349-a457-5ff260c24b7c,single
A patient presents to the emergency depament with self harm and indicates suicidal intent. Which of the following conditions does not warrant an immediate specialist assessment?,"The suicidal intent in a person with formal thought disorder (most likely a patient with Schizophrenia), chronic severe physical illness and social isolation, should be taken very seriously and immediate measures taken must include assessment by a specialist. If patient has expressed suicidal intent in an inebriated state, it must still be ensured that he doesn't harm himself however a specialist assessment can be deferred till he is sober.",2,Formal thought disorder,Acute alcohol intoxication,Chronic severe physical illness,Social isolation,Psychiatry,Mood Disorders,e71830ef-6839-4500-82ba-4da21552bd07,single
Time interval between acute and persistent psychotic disease is -,"Ans. is 'd' i.e., 1 monthso If symtoms are for less than 1 months, it is transient psychotic disorder and if there are for more than 1 months, it is persistent psychotic disorder (persistent delusional disorder).Note:- Diagnosic criteria for delusional disorder (Persistent delusion disorder) has different durations in DSM IV and ICD-10 :-According to DSM IV, symptoms (Non bizzare delusion) should be for > 1 months.According to ICD-10, Symptoms should be for > 3 months.",4,1 week,2 week,3 week,1 months,Psychiatry,Symptoms & Signs ,944edfc2-e501-4170-b235-b36a70b8e6ed,single
"A man taking 20 cigarettes per day, started coughing, his family suggested quitting cigarettes. He is ready to quit but thinks that quitting will make him irritable, the best health planning model followed is -","Ans. is 'c' i.e., Precontemplation and preparation Five stages of change have been conceptualized for a variety of problem behavior's .The five stages of change are: -PrecontemplationContemplationPreparationActionMaintenancePrecontemplationIt is the stage at which there is no intention to change behaviour in for the seeable future. Many individuals in this stage are unaware or under aware of their problems.ContemplationIt is the stage in which people are aware that a problem exists and are seriously thinking about overcoming it but, have not yet made a commitment to take an action.PreparationIt is a stage that combines intention and behavioural criteria.Individuals in this stage are intending to take action in the next month and have unsuccessfully taken action in the past year.ActionIt is the stage in which individuals modify their behaviour experiences or environment in order to overcome their problems.Action involves the most overt behavioural changes and require considerable commitment of time and energy.MaintenanceIt is the stage in which people work to prevent relapse and consolidate the gains attained during action.For addictive behaviour this stage extends from six months to indeterminate period past the initial action.",3,Cost and survival,Persuasion,Precontemplation and preparation,Belief,Psychiatry,Cognitive and Behavior Therapy,1f9f34eb-2c48-46ed-95b6-3610d35975c2,single
Drug used for narcoanalysis is,"Narcoanalysis is therapy is used in the management of dissociation. Here the patient is taken to the semiconscious stage with the help of amobarbitol and diazepam and unconscious conflict is brought into the conscious and relieved from distress. * Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 945",2,Atropine,Scopolamine,Propranolol,Naltrexone,Psychiatry,Treatment in psychiatry,4499c6c7-021f-4eeb-ad0b-eee1e747585b,single
Flooding is a treatment modality used in,"Phobia is treated by behaviour therapy. If properly planned, this mode of treatment is usually successful. Impoant techniques are flooding, systemic desensitisation, exposure and response prevention, relaxation technique (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.94)",1,Phobia,Depression,Mania,Schizophrenia,Psychiatry,Anxiety disorders stress disorders and grief,e29a788c-4a30-4c69-b6a9-3661b1ef0650,single
"A 50-year-old male presents with a 3-year history of irritability, low mood, lack of interest in surroundings and general dissatisfaction with everything. There is no significant disruption in his sleep or appetite. He is likely to be suffering from","Neurotic depression has been renamed as dysthymia or dysthymic disorder in DSM-IV-TR and ICD-10. Dysthymia is defined as any mild depression which is not severe enough to be called a depressive episode and lasts for two years or more. Neurotic depression is usually characterised by the following clinical features:1. Presence of mild to moderate depression.2. Depressive symptoms usually occur in response to a stressful situation but are often quite dispropoionate to the severity of stress.3. Other 'neurotic' symptoms such as anxiety, obsessive symptoms, phobic symptoms, and multiple somatic symptoms, are often present.4. Preoccupation with the stressful condition is common. Other common features include:1. The reactivity of mood is preserved, i.e. the patient is able to emotionally react to the events occurring in his surroundings.2. There may be insomnia or hypersomnia. There is usually difficulty in initiating sleep and sometimes difficulty in awakening in the morning.3. The mood may be worse in the evening, at the end of the day.4. Suicidal threats and gestures are more common than completed suicide. 82 Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no.",3,Major depression,No psychiatric disorder,Dysthymia,Chronic fatique syndrome,Psychiatry,Mood disorders,b8f7f301-e84a-4b18-a143-288c2f005f71,single
Neuroleptic malignant syndrome is treated with:,"Ans: A (Dantrolene) Ref: A Short Textbook of Psychiatry by Niraj Ahuja, 7th edition. 2011. JAYPEE.Explanation:NEUROLEPTIC MALIGNANT SYNDROMEIt is a life-threatening neurological disorder most often caused by an adverse reaction to neuroleptic or antipsychotic drugs.NMS typically consists of muscle rigidity, fever, autonomic instability and cognitive changes such as delirium, and is associated writh elevated plasma creatine phosphokinasePresentation: Fairly rare & potentially life- threatening conditionIncreased body temperature >38CCConfused or altered consciousnessDiaphoresis ""sweat shock''Rigid musclesAutonomic imbalanceMuscular rigidity, Hyperthermia, autonomic instability & DeliriumAssociated with high dosages of high-potency APMsDiagnosis: Increased CPK levels TreatmentDiscontinuation of the medicationPhysiologic supportive measures (ICU)Dantrolene or Bromocriptine may be used",1,Dantrolene,Corticosteroids,Diazepam,Hemodialysis,Psychiatry,Symptoms & Signs ,3567c16e-28fe-4fac-bd38-9284a93e85e3,single
"A 50 - year - old male presents with a three year history of irritability, low mood, lack of interest in surrounding and general dissatisfaction with everything. There is no significant disruption in sleep and appetite. He is likely to be suffering from:",Long standing and less severe depressive symptoms along with normal sleep and appetite indicates Dysthymia. Dysthymia: Symptoms of depression are present but are not severe enough to cause socio-occupational disturbance with duration of more than 2 years,3,Major depression,No psychiatric disorder,Dysthymia,Chronic fatigue syndrome,Psychiatry,Mood Disorders,cf31ee2f-f8f0-482f-b56d-44293bd7ea63,single
Depression is seen in: a. Hypehyroidism b. Hypoglycemia c. Adrenal disorder d. Pheochromocytoma,"Depression is the most common psychiatric illness associated with both hypothyroidism and hypehyroidism Also, in adrenal disorders like Cushing's syndrome and Addison's disease, depression is commonly associated. Depression is not a common finding in hypoglycemia or pheochromocytoma",4,"a,b,c,d","a,b","b,c","a,c",Psychiatry,Mood Disorders,25fffa6d-7dba-4c17-b03e-674f27ba833f,single
"In depressions, there is deficiency of -","Ans. is 'a' i.e., 5 - HT Neurotransmitters in mood disorderso Most accepted biochemical hypothesis for mood disorders is the monoamine hypothesis, according to which serotinin and norepinephrine are the major neurotransmitters involved in mood disorders : -Depression - Decrease in serotonin and norepinephrine. Serotonin is the most important neurotransmitter in depression.Mania - Increased level of norepinephrineo Patients suffering from severe depression with suicidal intent/attempt appear to have a marked decrease inserotinin.o Acetylcholine and GABA are the other neurotransmitters which are involved in mood disorders.",1,5-HT,Acetylcholine,Dopamine,GABA,Psychiatry,Major Depression,ef818735-7c85-40a0-9131-6a8b41b90f7e,single
Drug of choice for generalized anxiety -,"Ans. is 'b' i.e., Alprazolam Treatment of generalized anxietyo Benzodiazepines are the drug of choice. Drugs in this group are diazepam, Lorazepam, Alprazolam, Oxazepam, chlordiazepoxide.o Other drugs used are buspirone; TCA (amptriptyline, imipramine, clomipramine, desipramine); SSRIs (Fluoxetine, Sertaline, Paroxetine, Citalopram); SNRIs (Venalafaxine), b-blockers.o Anticonvulsants with GABAergic properties may also be effective against anxiety, e.g., Gabapentin, Oxcarbazepine, Tiagabine, pregabalin, and Valproate (divalporex).",2,p-blocker,Alprazolam,Buspirone,Phenytoin,Psychiatry,Generalized Anxiety Disorder,81ab2cb6-4501-471c-800d-5e26b6f6fe1f,single
"A 4-year-old child who has received beatings in the past, from which he could not escape, appears unresponsive and no longer tries to escape new beatings. This behavior by the child is an example of","This child is showing learned helplessness, in which an association is made between an aversive stimulus (beatings) and the inability to escape. After the beatings, this child makes no attempt to escape but instead becomes hopeless and apathetic when faced with another beating. Learned helplessness may be a model system for the development of depression",4,Stimulus generation,modelling,shaping,learned helplessness,Psychiatry,Mood Disorders,36d9733c-63c3-4950-bf73-b4c3bcce6233,single
An objective sign of depression involving the upper eyelid is:,Veraguth's sign Objective sign of depression. It was described by Otto Veraguth. It is a triangular fold on the nasal side of the upper eye lid. The patient appears to have a distant stare.,1,Veraguth sign,Omega sign,Empty delta sign,Hoffman's sign,Psychiatry,Mood Disorders,efc638b5-cc5d-45e0-ab7a-93a0f8f5bc2e,single
Therapeutic exposure is form of_______ therapy.,"Ans. D. Behavioral.(Ref: Kaplan & Sadockfs Synopsis of Psychiatry, Xth/Ch.35.8, Page no, 954).Therapeutic exposure is form of Behavioral therapy.A behavioral therapist would most likely instruct the patient to change his/her behavior as an antecedent to recovery (such as exercising or another activity).No medication has proven to be effective in treating specific phobias. The Rx of choice for specific phobias is exposure, in vivo or using techniques of guided imagery, pairing relaxation exercises with exposure to the feared stimulus. The patient can be exposed to the feared stimulus gradually or can be asked to immediately confront the most anxiety- provoking situation (flooding).Discussion:LEARNING THEORY & BEHAVIORAL THERAPY# Goals = change behavior & think more accurately# Specific phobia: ex. dogs, flying, heights, snakes- Therapy* Behavioral - Exposure therapy6# Prolonged & frequent (6-10) sessions# Gradual exposure to stimulus# End when anxiety reduced- Learning principles* Conditioning (stimulus elicits maintained response)* Negative reinforcement (behavior repeated to avoid a negative emotion)* Habituation (fear eliminated by prolonged contact w/ phobic stimulus)# Social phobia: ex. public speaking; fear of being scrutinized by others- Therapy* Cognitive - Cognitive restructuring- Correct irrational thinking* Behavioral - Exposure therapy & social skills training# Social distance, eye contact, movement, content- Learning principles* Modeling (observe others)* Shaping (acquire behavior by reinforcement)* Positive reinforcement (behavior ? in frequency by reward)* Punishment (behavior ? in frequency)* Irrational thinking (inaccurate beliefs that others are scrutinizing)i. Psychoanalysis would also use the understanding of the patient and the recreation of the past through clarification, confrontation, and interpretation, but typically the patient comes to the office more frequently than once per week, and often, though not always, the patient lies on a couch facing away from the therapist.ii. An experiential-humanistic therapist would focus on developing a supportive and gratifying relationship with the patient to help provide the empathic responsiveness that was hypothesized as absent in the patient's past.iii. A cognitive therapy would most likely focus on the negative worldview of the patient and attempt to restructure those thoughts. Cognitive therapy is based on the principle that psychopathology derives from the patient's faulty, distorted beliefs about him- or herself and the world (schemas).",4,Psychoanalytical,Supportive,Cognitive,Behavioural,Psychiatry,Treatment,41639a5d-2d36-4bf3-970b-81e38211c8db,single
Which of the following substance is not involved in Panic disorder?,"Ans. D. GABAPanic-Inducing Substances* Panic-inducing substances (sometimes called pnicogens) induce panic attacks in most patients with panic disorder and in a much smaller proportion of persons without panic disorder or a history of panic attacks. (The use of panic- inducing substances is strictly limited to research settings; no clinically indicated reasons exist to stimulate panic attacks in patients.) So-called respiratory panic-inducing substances cause respiratory stimulation and a shift in the acid-base balance. These substances include carbon dioxide (5 to 35 percent mixtures), sodium lactate, and bicarbonate.* Neurochemical panic-inducing substances that act through specific neurotransmitter systems include yohimbine, an I^+-2-adrenergic receptor antagonist; m-chlorophenyl piperazine (mCPP), an agent with multiple serotonergic effects; m-Caroline drugs; GABAB receptor inverse agonists; flumazenil (Romazicon), a GABAB receptor antagonist; cholecystokinin; and caffeine. Isoproterenol (Isuprel) is also a panic-inducing substance, although its mechanism of action in inducing panic attacks is poorly understood.* The respiratory panic-inducing substances may act initially at the peripheral cardiovascular baroreceptors and relay their signal by vagal afferents to the nucleus tractus solitarii and then on to the nucleus paragigantocellularis of the medulla.* The hyperventilation in panic disorder patients may be caused by a hypersensitive suffocation alarm system whereby increasing PCO2 and brain lactate concentrations prematurely activate a physiological asphyxia monitor.* The neurochemical panic-inducing substances are presumed to primarily affect the noradrenergic, serotonergic, and GABA receptors of the CNS directly.",4,Serotonin,CCK,Glutamate,GABA,Psychiatry,Mood Disorders,41d29caf-dc2e-4bdc-b88f-dcdeefcaace0,single
Father of modern psychiatry is -,"Ans. is 'c' i.e., Pinelo Father of psychoanalysis-Sigmund freudo Father of modem psychiatry-Phileppel pinel",3,Bleuler,Freud,Pinel,Kraepelin,Psychiatry,Symptoms & Signs ,b69b9b43-c50f-494b-9e49-047b15fbeca5,single
Agoraphobia is most commonly associated with?,"Ans. is 'c' i.e., Panic * The patient is afraid of all the places or situations from where escape may be perceived to be difficult if he suddenly develops embarrassing or incapacitating symptoms.* These embarrassing or incapaciating symptoms are the classical symptoms of panic. A full-blown panic attack may occur (agoraphobia with panic disorder) or only a few symptoms (like dizziness or tachycardia) may occur (agoraphobia without panic disorder).",3,Depression,Mania,Panic,Generalized anxiety disorder,Psychiatry,Anxiety & Stress,318c85b5-fc54-46eb-b74a-6c32ed34b520,single
significance of punishment in behaviour management was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",3,lorenz,schneider,skinner,bleuler,Psychiatry,Treatment in psychiatry,ef39671e-7cc0-4024-b56d-15eb85476c5a,single
The absolute contraindication for Electro Convulsive Therapy {ECT} is,"CONTRA INDICATIONS * NO ABSOLUTE Contra indication RELATIVE CONTRAINDICATION -----------------Brain tumour with midline shift / arrythmia Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 1065",1,Raised Intra Cranial Tension,Vascular Dementia,Diabetic Retinopathy,Peripheral Neuropathy,Psychiatry,Treatment in psychiatry,77fd9fb5-aa63-46fd-8b21-be7f01be285a,single
Symptom of neuroleptic malignant syndrome -,"Ans. is 'd' i.e., Catatonia and stupor Features of neuroleptic malignant syndromeo Marked muscular rigidityo Disturbed consciousnesso Increased CPKo High fevero Catatonia & stuporo Myoglobinemia & Myoglobinuriao Autonomic instability(| HR & BP, Sweating)o Leucocytosis",4,Hypotension,Hypothermia,Increased Magnesium level in blood,Catatonia and stupor,Psychiatry,Symptoms & Signs ,88d36f52-c8ac-4feb-896d-b58556552905,single
Most common age for depression is,"An almost universal observation, independent of country or culture, is the twofold greater prevalence of major depressive disorder in women than in men. The mean age of onset for major depressive disorder is about 40 years, with 50 percent of all patients having an onset between the ages of 20 and 50 years. Reference: Synopsis of Psychiatry, page 349.",2,Middle age men,Middle age female,Young girl,Children,Psychiatry,Mood disorders,7fc81453-8f41-4fe9-b95c-0d79922f91c7,single
Pathognomonic of maniac episode is,"Mania tends to occur in episodes lasting 3-4 months followed by complete clinical cure In mania, there can be delusions of grandeur(grandiosity) with markedly inflated self-esteem. A delusion of persecution may sometimes develop secondary to a delusion of grandeur. (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.69)",2,Elevated mood,Grandiosity,Decreased appetite,Increased sleep,Psychiatry,Mood disorders,be651be5-430f-43a3-9c6c-4070a2340c09,single
Pavlov's experiment is an example of -,"Ans. is 'b' i.e., Classical conditioning Classical conditioningo In classical conditioning, the conditioned stimulus (which usually does not produce the response), when paired with unconditioned stimulus (stimulus which usually produces a response), directly produces a response.o The typical example of classical conditioning is pavlov's experiment. Normally food produces salivation in dog, Therefore salivation in response to food is called unconditioned response and the stimulus, i.e., food is called unconditioned stimulus. Under normal circumstances, a dog does not salivate at the sound of a bell. However, if the sound of bell is paired consistently with presentation of food, the dog begans to salivate to the sound of bell even if the food is not presented. This learned response, i.e., salivation to a sound of bell without food, is called conditioned response and the stimulus (sound of a bell) is called conditioned stimulus.o There is a reverse side to classical conditioning, called counter conditioning. This amounts to reducing the intensity of conditioned response (e.g., anxiety) by establishing an incompatible response (e.g., relaxation) to a conditioned stimulus (i.e., snake). So anxiety symptoms can be reduced when the stimuli to anxiety are presented in graded order and systemically paired with a relaxation response. This process of reciprocal inhibition is called systemic desensitization.o Other behavioral therapies based on classical conditioning principle (counter conditioning) are exposure with response prevention and aversion therapy.",2,Operant conditioning,Classical conditioning,Learned helplessness,Modeling,Psychiatry,Cognitive and Behavior Therapy,2b56ba1f-6fef-40fa-9550-60482f9a137a,single
Cyclothymia is a type of,"Persistent mood disorders are characterised by persistent mood symptoms which last for more than 2 years but are not severe enough to be labelled as even hypomania or mild depressive episode. If the symptom consists of persistent inability of mood between mild depression and mild elation, the disorder is called as cyclothymia (Ref: a sho textbook of psychiatry, Niraj Ahuja,7th edition, pg no73)",4,Bipolar mood disorder,Major depression,Dysthymia,Persistant mood disorder,Psychiatry,Mood disorders,6813255e-f3cb-41f7-b229-b51569bc3ef2,single
Chronic mild depression of how much duration is considered to be dysthymia?,Ans. D. More than 2 yearsDysthymia: It's presence of mild depressive symptoms (not enough to diagnose a MDD) for a period of at least 2 years - socio-occupational dysfunction is not markedIn DSM-5: persistent depressive disorder (clubbed chronic depression + dysthymia),4,3 to 6 months,6 Months to 1 year,One to one and half years,More than 2 years,Psychiatry,Mood Disorders,39a5f9b9-2e38-4db1-84c8-cf85442d8591,single
"A 40 year male patient with a history of road traffic accident, 3 months back, presents with complaints of dreams about the accident. He has visualizations of the scene whenever he visits the place of accident. Which of the following disorder that he might be suffering from?","Ans. D PTSDPosttraumatic stress disorder (PTSD) is a mental disorder that can develop after a person is exposed to a traumatic event, such as sexual assault, warfare, traffic collisions, or other threats on a person's life. Symptoms may include disturbing thoughts, feelings, or dreams related to the events, mental or physical distress to trauma-related cues, attempts to avoid trauma-related cues, alterations in how a person thinks and feels, and an increase in the fight-or-flight response. These symptoms last for more than a month after the event. Young children are less likely to show distress, but instead may express their memories through play. A person with PTSD is at a higher risk for suicide and intentional self-harm.",4,Adjustment disorder,Major depression,Acute Stress reaction,PTSD,Psychiatry,Anxiety & Stress,0679f87d-025a-4da3-9e41-38f97e29f0dc,single
